"Path","RelPath","Ext","Bytes","LastWrite"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\adbc_driver_duckdb\dbapi.py",".venv\Lib\site-packages\adbc_driver_duckdb\dbapi.py",".py","3578","13.09.2025 16:17:38"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\adbc_driver_duckdb\__pycache__\__init__.cpython-313.pyc",".venv\Lib\site-packages\adbc_driver_duckdb\__pycache__\__init__.cpython-313.pyc",".pyc","1565","13.09.2025 16:17:38"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\adbc_driver_duckdb\__pycache__\dbapi.cpython-313.pyc",".venv\Lib\site-packages\adbc_driver_duckdb\__pycache__\dbapi.cpython-313.pyc",".pyc","3146","13.09.2025 16:17:38"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\annotated_types\__init__.py",".venv\Lib\site-packages\annotated_types\__init__.py",".py","13819","13.09.2025 16:17:39"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\annotated_types\py.typed",".venv\Lib\site-packages\annotated_types\py.typed",".typed","0","13.09.2025 16:17:39"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\annotated_types\test_cases.py",".venv\Lib\site-packages\annotated_types\test_cases.py",".py","6421","13.09.2025 16:17:39"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\annotated_types\__pycache__\__init__.cpython-313.pyc",".venv\Lib\site-packages\annotated_types\__pycache__\__init__.cpython-313.pyc",".pyc","18914","13.09.2025 16:17:39"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\annotated_types\__pycache__\test_cases.cpython-313.pyc",".venv\Lib\site-packages\annotated_types\__pycache__\test_cases.cpython-313.pyc",".pyc","13282","13.09.2025 16:17:39"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\annotated_types-0.7.0.dist-info\INSTALLER",".venv\Lib\site-packages\annotated_types-0.7.0.dist-info\INSTALLER","","4","13.09.2025 16:17:39"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\annotated_types-0.7.0.dist-info\METADATA",".venv\Lib\site-packages\annotated_types-0.7.0.dist-info\METADATA","","15046","13.09.2025 16:17:39"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\annotated_types-0.7.0.dist-info\RECORD",".venv\Lib\site-packages\annotated_types-0.7.0.dist-info\RECORD","","802","13.09.2025 16:17:39"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\annotated_types-0.7.0.dist-info\WHEEL",".venv\Lib\site-packages\annotated_types-0.7.0.dist-info\WHEEL","","87","13.09.2025 16:17:39"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\annotated_types-0.7.0.dist-info\licenses\LICENSE",".venv\Lib\site-packages\annotated_types-0.7.0.dist-info\licenses\LICENSE","","1083","13.09.2025 16:17:39"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\__init__.py",".venv\Lib\site-packages\anyio\__init__.py",".py","5955","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\from_thread.py",".venv\Lib\site-packages\anyio\from_thread.py",".py","17678","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\lowlevel.py",".venv\Lib\site-packages\anyio\lowlevel.py",".py","4153","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\py.typed",".venv\Lib\site-packages\anyio\py.typed",".typed","0","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\pytest_plugin.py",".venv\Lib\site-packages\anyio\pytest_plugin.py",".py","9375","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\to_interpreter.py",".venv\Lib\site-packages\anyio\to_interpreter.py",".py","6986","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\to_process.py",".venv\Lib\site-packages\anyio\to_process.py",".py","9595","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\to_thread.py",".venv\Lib\site-packages\anyio\to_thread.py",".py","2396","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\abc\__init__.py",".venv\Lib\site-packages\anyio\abc\__init__.py",".py","2869","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\abc\_eventloop.py",".venv\Lib\site-packages\anyio\abc\_eventloop.py",".py","10729","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\abc\_resources.py",".venv\Lib\site-packages\anyio\abc\_resources.py",".py","783","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\abc\_sockets.py",".venv\Lib\site-packages\anyio\abc\_sockets.py",".py","13258","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\abc\_streams.py",".venv\Lib\site-packages\anyio\abc\_streams.py",".py","7640","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\abc\_subprocesses.py",".venv\Lib\site-packages\anyio\abc\_subprocesses.py",".py","2067","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\abc\_tasks.py",".venv\Lib\site-packages\anyio\abc\_tasks.py",".py","3604","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\abc\_testing.py",".venv\Lib\site-packages\anyio\abc\_testing.py",".py","1821","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\abc\__pycache__\__init__.cpython-313.pyc",".venv\Lib\site-packages\anyio\abc\__pycache__\__init__.cpython-313.pyc",".pyc","2378","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\abc\__pycache__\_eventloop.cpython-313.pyc",".venv\Lib\site-packages\anyio\abc\__pycache__\_eventloop.cpython-313.pyc",".pyc","16516","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\abc\__pycache__\_resources.cpython-313.pyc",".venv\Lib\site-packages\anyio\abc\__pycache__\_resources.cpython-313.pyc",".pyc","1665","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\abc\__pycache__\_sockets.cpython-313.pyc",".venv\Lib\site-packages\anyio\abc\__pycache__\_sockets.cpython-313.pyc",".pyc","17987","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\abc\__pycache__\_streams.cpython-313.pyc",".venv\Lib\site-packages\anyio\abc\__pycache__\_streams.cpython-313.pyc",".pyc","9766","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\abc\__pycache__\_subprocesses.cpython-313.pyc",".venv\Lib\site-packages\anyio\abc\__pycache__\_subprocesses.cpython-313.pyc",".pyc","3154","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\abc\__pycache__\_tasks.cpython-313.pyc",".venv\Lib\site-packages\anyio\abc\__pycache__\_tasks.cpython-313.pyc",".pyc","4872","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\abc\__pycache__\_testing.cpython-313.pyc",".venv\Lib\site-packages\anyio\abc\__pycache__\_testing.cpython-313.pyc",".pyc","2769","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\streams\__init__.py",".venv\Lib\site-packages\anyio\streams\__init__.py",".py","0","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\streams\buffered.py",".venv\Lib\site-packages\anyio\streams\buffered.py",".py","6162","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\streams\file.py",".venv\Lib\site-packages\anyio\streams\file.py",".py","4383","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\streams\memory.py",".venv\Lib\site-packages\anyio\streams\memory.py",".py","10620","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\streams\stapled.py",".venv\Lib\site-packages\anyio\streams\stapled.py",".py","4302","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\streams\text.py",".venv\Lib\site-packages\anyio\streams\text.py",".py","5662","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\streams\tls.py",".venv\Lib\site-packages\anyio\streams\tls.py",".py","15275","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\streams\__pycache__\__init__.cpython-313.pyc",".venv\Lib\site-packages\anyio\streams\__pycache__\__init__.cpython-313.pyc",".pyc","186","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\streams\__pycache__\buffered.cpython-313.pyc",".venv\Lib\site-packages\anyio\streams\__pycache__\buffered.cpython-313.pyc",".pyc","8972","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\streams\__pycache__\file.cpython-313.pyc",".venv\Lib\site-packages\anyio\streams\__pycache__\file.cpython-313.pyc",".pyc","7438","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\streams\__pycache__\memory.cpython-313.pyc",".venv\Lib\site-packages\anyio\streams\__pycache__\memory.cpython-313.pyc",".pyc","14882","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\streams\__pycache__\stapled.cpython-313.pyc",".venv\Lib\site-packages\anyio\streams\__pycache__\stapled.cpython-313.pyc",".pyc","7557","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\streams\__pycache__\text.cpython-313.pyc",".venv\Lib\site-packages\anyio\streams\__pycache__\text.cpython-313.pyc",".pyc","9260","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\streams\__pycache__\tls.cpython-313.pyc",".venv\Lib\site-packages\anyio\streams\__pycache__\tls.cpython-313.pyc",".pyc","20049","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\_backends\__init__.py",".venv\Lib\site-packages\anyio\_backends\__init__.py",".py","0","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\_backends\_asyncio.py",".venv\Lib\site-packages\anyio\_backends\_asyncio.py",".py","97359","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\_backends\_trio.py",".venv\Lib\site-packages\anyio\_backends\_trio.py",".py","41963","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\_backends\__pycache__\__init__.cpython-313.pyc",".venv\Lib\site-packages\anyio\_backends\__pycache__\__init__.cpython-313.pyc",".pyc","188","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\_backends\__pycache__\_asyncio.cpython-313.pyc",".venv\Lib\site-packages\anyio\_backends\__pycache__\_asyncio.cpython-313.pyc",".pyc","141677","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\_backends\__pycache__\_trio.cpython-313.pyc",".venv\Lib\site-packages\anyio\_backends\__pycache__\_trio.cpython-313.pyc",".pyc","74444","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\_core\__init__.py",".venv\Lib\site-packages\anyio\_core\__init__.py",".py","0","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\_core\_asyncio_selector_thread.py",".venv\Lib\site-packages\anyio\_core\_asyncio_selector_thread.py",".py","5626","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\_core\_contextmanagers.py",".venv\Lib\site-packages\anyio\_core\_contextmanagers.py",".py","7215","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\_core\_eventloop.py",".venv\Lib\site-packages\anyio\_core\_eventloop.py",".py","4695","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\_core\_exceptions.py",".venv\Lib\site-packages\anyio\_core\_exceptions.py",".py","3683","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\_core\_fileio.py",".venv\Lib\site-packages\anyio\_core\_fileio.py",".py","23332","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\_core\_resources.py",".venv\Lib\site-packages\anyio\_core\_resources.py",".py","435","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\_core\_signals.py",".venv\Lib\site-packages\anyio\_core\_signals.py",".py","905","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\_core\_sockets.py",".venv\Lib\site-packages\anyio\_core\_sockets.py",".py","32232","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\_core\_streams.py",".venv\Lib\site-packages\anyio\_core\_streams.py",".py","1804","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\_core\_subprocesses.py",".venv\Lib\site-packages\anyio\_core\_subprocesses.py",".py","8047","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\_core\_synchronization.py",".venv\Lib\site-packages\anyio\_core\_synchronization.py",".py","20306","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\_core\_tasks.py",".venv\Lib\site-packages\anyio\_core\_tasks.py",".py","4757","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\_core\_tempfile.py",".venv\Lib\site-packages\anyio\_core\_tempfile.py",".py","19697","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\_core\_testing.py",".venv\Lib\site-packages\anyio\_core\_testing.py",".py","2118","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\_core\_typedattr.py",".venv\Lib\site-packages\anyio\_core\_typedattr.py",".py","2508","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\_core\__pycache__\__init__.cpython-313.pyc",".venv\Lib\site-packages\anyio\_core\__pycache__\__init__.cpython-313.pyc",".pyc","184","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\_core\__pycache__\_asyncio_selector_thread.cpython-313.pyc",".venv\Lib\site-packages\anyio\_core\__pycache__\_asyncio_selector_thread.cpython-313.pyc",".pyc","8632","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\_core\__pycache__\_contextmanagers.cpython-313.pyc",".venv\Lib\site-packages\anyio\_core\__pycache__\_contextmanagers.cpython-313.pyc",".pyc","9063","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\_core\__pycache__\_eventloop.cpython-313.pyc",".venv\Lib\site-packages\anyio\_core\__pycache__\_eventloop.cpython-313.pyc",".pyc","6295","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\_core\__pycache__\_exceptions.cpython-313.pyc",".venv\Lib\site-packages\anyio\_core\__pycache__\_exceptions.cpython-313.pyc",".pyc","6578","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\_core\__pycache__\_fileio.cpython-313.pyc",".venv\Lib\site-packages\anyio\_core\__pycache__\_fileio.cpython-313.pyc",".pyc","41683","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\_core\__pycache__\_resources.cpython-313.pyc",".venv\Lib\site-packages\anyio\_core\__pycache__\_resources.cpython-313.pyc",".pyc","920","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\_core\__pycache__\_signals.cpython-313.pyc",".venv\Lib\site-packages\anyio\_core\__pycache__\_signals.cpython-313.pyc",".pyc","1232","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\_core\__pycache__\_sockets.cpython-313.pyc",".venv\Lib\site-packages\anyio\_core\__pycache__\_sockets.cpython-313.pyc",".pyc","37133","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\_core\__pycache__\_streams.cpython-313.pyc",".venv\Lib\site-packages\anyio\_core\__pycache__\_streams.cpython-313.pyc",".pyc","2371","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\_core\__pycache__\_subprocesses.cpython-313.pyc",".venv\Lib\site-packages\anyio\_core\__pycache__\_subprocesses.cpython-313.pyc",".pyc","9443","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\_core\__pycache__\_synchronization.cpython-313.pyc",".venv\Lib\site-packages\anyio\_core\__pycache__\_synchronization.cpython-313.pyc",".pyc","32168","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\_core\__pycache__\_tasks.cpython-313.pyc",".venv\Lib\site-packages\anyio\_core\__pycache__\_tasks.cpython-313.pyc",".pyc","6868","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\_core\__pycache__\_tempfile.cpython-313.pyc",".venv\Lib\site-packages\anyio\_core\__pycache__\_tempfile.cpython-313.pyc",".pyc","27900","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\_core\__pycache__\_testing.cpython-313.pyc",".venv\Lib\site-packages\anyio\_core\__pycache__\_testing.cpython-313.pyc",".pyc","3592","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\_core\__pycache__\_typedattr.cpython-313.pyc",".venv\Lib\site-packages\anyio\_core\__pycache__\_typedattr.cpython-313.pyc",".pyc","3774","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\__pycache__\__init__.cpython-313.pyc",".venv\Lib\site-packages\anyio\__pycache__\__init__.cpython-313.pyc",".pyc","4517","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\__pycache__\from_thread.cpython-313.pyc",".venv\Lib\site-packages\anyio\__pycache__\from_thread.cpython-313.pyc",".pyc","24027","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\__pycache__\lowlevel.cpython-313.pyc",".venv\Lib\site-packages\anyio\__pycache__\lowlevel.cpython-313.pyc",".pyc","6886","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\__pycache__\pytest_plugin.cpython-313.pyc",".venv\Lib\site-packages\anyio\__pycache__\pytest_plugin.cpython-313.pyc",".pyc","13726","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\__pycache__\to_interpreter.cpython-313.pyc",".venv\Lib\site-packages\anyio\__pycache__\to_interpreter.cpython-313.pyc",".pyc","10335","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\__pycache__\to_process.cpython-313.pyc",".venv\Lib\site-packages\anyio\__pycache__\to_process.cpython-313.pyc",".pyc","11970","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio\__pycache__\to_thread.cpython-313.pyc",".venv\Lib\site-packages\anyio\__pycache__\to_thread.cpython-313.pyc",".pyc","2844","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio-4.10.0.dist-info\entry_points.txt",".venv\Lib\site-packages\anyio-4.10.0.dist-info\entry_points.txt",".txt","39","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio-4.10.0.dist-info\INSTALLER",".venv\Lib\site-packages\anyio-4.10.0.dist-info\INSTALLER","","4","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio-4.10.0.dist-info\METADATA",".venv\Lib\site-packages\anyio-4.10.0.dist-info\METADATA","","4014","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio-4.10.0.dist-info\RECORD",".venv\Lib\site-packages\anyio-4.10.0.dist-info\RECORD","","6131","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio-4.10.0.dist-info\top_level.txt",".venv\Lib\site-packages\anyio-4.10.0.dist-info\top_level.txt",".txt","6","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio-4.10.0.dist-info\WHEEL",".venv\Lib\site-packages\anyio-4.10.0.dist-info\WHEEL","","91","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\anyio-4.10.0.dist-info\licenses\LICENSE",".venv\Lib\site-packages\anyio-4.10.0.dist-info\licenses\LICENSE","","1081","13.09.2025 16:17:40"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\certifi\__init__.py",".venv\Lib\site-packages\certifi\__init__.py",".py","94","13.09.2025 16:17:39"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\certifi\__main__.py",".venv\Lib\site-packages\certifi\__main__.py",".py","243","13.09.2025 16:17:39"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\certifi\cacert.pem",".venv\Lib\site-packages\certifi\cacert.pem",".pem","287634","13.09.2025 16:17:39"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\certifi\core.py",".venv\Lib\site-packages\certifi\core.py",".py","3394","13.09.2025 16:17:39"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\certifi\py.typed",".venv\Lib\site-packages\certifi\py.typed",".typed","0","13.09.2025 16:17:39"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\certifi\__pycache__\__init__.cpython-313.pyc",".venv\Lib\site-packages\certifi\__pycache__\__init__.cpython-313.pyc",".pyc","307","13.09.2025 16:17:39"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\certifi\__pycache__\__main__.cpython-313.pyc",".venv\Lib\site-packages\certifi\__pycache__\__main__.cpython-313.pyc",".pyc","624","13.09.2025 16:17:39"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\certifi\__pycache__\core.cpython-313.pyc",".venv\Lib\site-packages\certifi\__pycache__\core.cpython-313.pyc",".pyc","2062","13.09.2025 16:17:39"
"C:\Users\Norbi\Ultimate_Norbi_Assistant\.venv\Lib\site-packages\certifi-2025.8.3.dist-info\INSTALLER",".venv\Lib\site-packages\certifi-2025.8.3.dist-info\INSTALLER","","4","13.09.2025 16:17:39"
